"Country","Year","Score","GDP","SocialSupport","Health","Freedom","Generosity","Corruption","Individualism","UncertaintyAvoidance","Indulgence","vis_residual"
"Argentina",2015,6.574,1.05351,1.24823,0.78723,0.44974,0.11451,0.08484,46,86,62,0.768676854988334
"Argentina",2016,6.65,1.15137,1.06612,0.69711,0.42284,0.10989,0.07296,46,86,62,0.609749890410767
"Argentina",2017,6.59899997711182,1.18529546260834,1.44045114517212,0.695137083530426,0.494519203901291,0.109457060694695,0.059739887714386,46,86,62,0.477306929116016
"Argentina",2018,6.388,1.073,1.468,0.744,0.57,0.062,0.054,46,86,62,0.535888314832839
"Argentina",2019,6.086,1.092,1.432,0.881,0.471,0.066,0.05,46,86,62,0.188276089950622
"Australia",2015,7.284,1.33358,1.30923,0.93156,0.65124,0.43562,0.35637,90,51,71,0.806328653790304
"Australia",2016,7.313,1.44443,1.10476,0.8512,0.56837,0.47407,0.32331,90,51,71,0.569217331253789
"Australia",2017,7.28399991989136,1.484414935112,1.51004195213318,0.84388679265976,0.601607382297516,0.477699249982834,0.301183730363846,90,51,71,0.444227679975181
"Australia",2018,7.272,1.34,1.573,0.91,0.647,0.361,0.302,90,51,71,0.778916523066944
"Australia",2019,7.228,1.372,1.548,1.036,0.557,0.332,0.29,90,51,71,0.658095933791631
"Austria",2015,7.2,1.33723,1.29704,0.89042,0.62433,0.33088,0.18676,55,70,63,0.713566305326089
"Austria",2016,7.119,1.45038,1.08383,0.80565,0.54355,0.32865,0.21348,55,70,63,0.360933502935411
"Austria",2017,7.00600004196167,1.48709726333618,1.4599449634552,0.815328419208527,0.567766189575195,0.316472321748734,0.221060365438461,55,70,63,0.159788488457637
"Austria",2018,7.139,1.341,1.504,0.891,0.617,0.242,0.224,55,70,63,0.643515879652091
"Austria",2019,7.246,1.376,1.475,1.016,0.532,0.244,0.226,55,70,63,0.666493360132217
"Bangladesh",2015,4.694,0.39753,0.43106,0.60164,0.4082,0.21222,0.12569,20,60,20,0.463450922263958
"Bangladesh",2016,4.643,0.54177,0.24749,0.52989,0.39778,0.19132,0.12583,20,60,20,0.0661821161054839
"Bangladesh",2017,4.60799980163574,0.586682975292206,0.735131740570068,0.533241033554077,0.478356659412384,0.172255352139473,0.123717859387398,20,60,20,-0.07663812063549
"Bangladesh",2018,4.5,0.532,0.85,0.579,0.58,0.153,0.144,20,60,20,-0.0533635977313969
"Bangladesh",2019,4.456,0.562,0.928,0.723,0.527,0.166,0.143,20,60,20,-0.169382900177003
"Belgium",2015,6.937,1.30782,1.28566,0.89667,0.5845,0.2225,0.2254,75,94,57,0.521169228156932
"Belgium",2016,6.929,1.42539,1.05249,0.81959,0.51354,0.2424,0.26248,75,94,57,0.230925581872602
"Belgium",2017,6.89099979400635,1.46378076076508,1.46231269836426,0.818091869354248,0.539770722389221,0.231503337621689,0.251343131065369,75,94,57,0.100762848857045
"Belgium",2018,6.927,1.324,1.483,0.894,0.583,0.188,0.24,75,94,57,0.472326817704601
"Belgium",2019,6.923,1.356,1.504,0.986,0.473,0.16,0.21,75,94,57,0.391506228429288
"Brazil",2015,6.983,0.98124,1.23287,0.69702,0.49049,0.14574,0.17521,38,76,59,1.3511713545798
"Brazil",2016,6.952,1.08754,1.03938,0.61415,0.40425,0.15776,0.14166,38,76,59,1.06498295958087
"Brazil",2017,6.63500022888184,1.10735321044922,1.43130600452423,0.616552352905273,0.437453746795654,0.16234989464283,0.111092761158943,38,76,59,0.700418735270682
"Brazil",2018,6.419,0.986,1.474,0.675,0.493,0.11,0.088,38,76,59,0.775744291925096
"Brazil",2019,6.3,1.004,1.439,0.802,0.39,0.099,0.086,38,76,59,0.613532710457733
"Bulgaria",2015,4.218,1.01216,1.10614,0.76649,0.30587,0.11921,0.00872,30,85,16,-1.48805653980747
"Bulgaria",2016,4.217,1.11306,0.92542,0.67806,0.21219,0.12793,0.00615,30,85,16,-1.73128146036619
