"Country","Score","GDP","SocialSupport","Health","Freedom","Generosity","Corruption","Year","Region","expected_by_gdp","gdp_residual","Individualism","UncertaintyAvoidance","Indulgence"
"Albania",4.719,0.947,0.848,0.874,0.383,0.178,0.027,2019,"Other",5.45095408424057,-0.731954084240574,NA,NA,15
"Albania",4.586,0.916,0.817,0.79,0.419,0.149,0.032,2018,"Other",5.38369080920204,-0.797690809202042,NA,NA,15
"Albania",4.64400005340576,0.996192753314972,0.803685247898102,0.731159746646881,0.381498634815216,0.201312944293022,0.0398642159998417,2017,"Other",5.55769168734146,-0.913691633935704,NA,NA,15
"Albania",4.959,0.87867,0.80434,0.81325,0.35733,0.14272,0.06413,2015,"Other",5.30269280735726,-0.343692807357256,NA,NA,15
"Albania",4.655,0.9553,0.50163,0.73007,0.31866,0.1684,0.05301,2016,"Other",5.46896328368637,-0.813963283686374,NA,NA,15
"Algeria",5.605,0.93929,1.07772,0.61766,0.28579,0.07822,0.17383,2015,"Other",5.43422505680357,0.170774943196429,NA,NA,32
"Algeria",6.355,1.05266,0.83309,0.61804,0.21006,0.07044,0.16157,2016,"Other",5.68021336296868,0.674786637031323,NA,NA,32
"Algeria",5.87200021743774,1.09186446666718,1.1462174654007,0.617584645748138,0.233335807919502,0.0694366469979286,0.146096110343933,2017,"Other",5.76527855084524,0.106721666592499,NA,NA,32
"Algeria",5.211,1.002,1.16,0.785,0.086,0.073,0.114,2019,"Other",5.57029215285732,-0.359292152857322,NA,NA,32
"Algeria",5.295,0.979,1.154,0.687,0.077,0.055,0.135,2018,"Other",5.52038714234486,-0.225387142344864,NA,NA,32
"Argentina",6.086,1.092,1.432,0.881,0.471,0.066,0.05,2019,"LatinAmerica",5.76557262877564,0.320427371224361,46,86,62
"Argentina",6.65,1.15137,1.06612,0.69711,0.42284,0.10989,0.07296,2016,"LatinAmerica",5.89439264938976,0.755607350610245,46,86,62
"Argentina",6.574,1.05351,1.24823,0.78723,0.44974,0.11451,0.08484,2015,"LatinAmerica",5.68205767857457,0.891942321425427,46,86,62
"Argentina",6.388,1.073,1.468,0.744,0.57,0.062,0.054,2018,"LatinAmerica",5.72434675052622,0.663653249473783,46,86,62
"Argentina",6.59899997711182,1.18529546260834,1.44045114517212,0.695137083530426,0.494519203901291,0.109457060694695,0.059739887714386,2017,"LatinAmerica",5.96800354365537,0.630996433456446,46,86,62
"Armenia",4.37599992752075,0.900596737861633,1.00748372077942,0.637524425983429,0.198303267359734,0.0834880918264389,0.0266744215041399,2017,"Other",5.35026907185677,-0.974269144336016,NA,NA,NA
"Armenia",4.36,0.86086,0.62477,0.64083,0.14037,0.07793,0.03616,2016,"Other",5.26404897095609,-0.904048970956087,NA,NA,NA
"Armenia",4.321,0.816,0.99,0.666,0.26,0.077,0.028,2018,"Other",5.16671250262613,-0.845712502626135,NA,NA,NA
"Armenia",4.559,0.85,1.055,0.815,0.283,0.095,0.064,2019,"Other",5.24048512686194,-0.681485126861944,NA,NA,NA
"Armenia",4.35,0.76821,0.77711,0.7299,0.19847,0.07855,0.039,2015,"Other",5.06301856991351,-0.713018569913509,NA,NA,NA
"Australia",7.313,1.44443,1.10476,0.8512,0.56837,0.47407,0.32331,2016,"Other",6.53026927464111,0.78273072535889,90,51,71
"Australia",7.228,1.372,1.548,1.036,0.557,0.332,0.29,2019,"Other",6.37311188718818,0.85488811281182,90,51,71
"Australia",7.284,1.33358,1.30923,0.93156,0.65124,0.43562,0.35637,2015,"Other",6.28974882180172,0.994251178198284,90,51,71
"Australia",7.28399991989136,1.484414935112,1.51004195213318,0.84388679265976,0.601607382297516,0.477699249982834,0.301183730363846,2017,"Other",6.6170279097326,0.666972010158758,90,51,71
"Australia",7.272,1.34,1.573,0.91,0.647,0.361,0.302,2018,"Other",6.30367882908389,0.968321170916111,90,51,71
"Austria",7.00600004196167,1.48709726333618,1.4599449634552,0.815328419208527,0.567766189575195,0.316472321748734,0.221060365438461,2017,"WesternEurope",6.62284798009024,0.383152061871434,55,70,63
"Austria",7.246,1.376,1.475,1.016,0.532,0.244,0.226,2019,"WesternEurope",6.38179101945122,0.864208980548785,55,70,63
"Austria",7.2,1.33723,1.29704,0.89042,0.62433,0.33088,0.18676,2015,"WesternEurope",6.29766852999174,0.902331470008264,55,70,63
"Austria",7.139,1.341,1.504,0.891,0.617,0.242,0.224,2018,"WesternEurope",6.30584861214965,0.833151387850352,55,70,63
"Austria",7.119,1.45038,1.08383,0.80565,0.54355,0.32865,0.21348,2016,"WesternEurope",6.54317948388238,0.575820516117624,55,70,63
"Azerbaijan",5.291,1.12373,0.76042,0.54504,0.35327,0.0564,0.17914,2016,"Other",5.83441984545217,-0.543419845452174,NA,NA,22
"Azerbaijan",5.208,1.043,1.147,0.769,0.351,0.035,0.182,2019,"Other",5.65925325855344,-0.451253258553445,NA,NA,22
"Azerbaijan",5.23400020599365,1.15360176563263,1.15240025520325,0.540775775909424,0.398155838251114,0.0452693402767181,0.180987507104874,2017,"Other",5.89923509666618,-0.665234890672529,NA,NA,22
"Azerbaijan",5.212,1.02389,0.93793,0.64045,0.3703,0.07799,0.16065,2015,"Other",5.61778870416679,-0.405788704166789,NA,NA,22
"Azerbaijan",5.201,1.024,1.161,0.603,0.43,0.031,0.176,2018,"Other",5.61802738030402,-0.417027380304023,NA,NA,22
"Bangladesh",4.5,0.532,0.85,0.579,0.58,0.153,0.144,2018,"Other",4.55049411195056,-0.0504941119505586,20,60,20
"Bangladesh",4.60799980163574,0.586682975292206,0.735131740570068,0.533241033554077,0.478356659412384,0.172255352139473,0.123717859387398,2017,"Other",4.66914430572491,-0.0611445040891692,20,60,20
