"Country","Score","GDP","SocialSupport","Health","Freedom","Generosity","Corruption","Year","Region","expected_by_gdp","gdp_residual"
"Switzerland",7.587,1.39651,1.34951,0.94143,0.66557,0.29678,0.41978,2015,"WesternEurope",6.42629327012993,1.16070672987007
"Iceland",7.561,1.30232,1.40223,0.94784,0.62877,0.4363,0.14145,2015,"Nordic",6.22192140316609,1.33907859683391
"Denmark",7.527,1.32548,1.36058,0.87464,0.64938,0.34139,0.48357,2015,"Nordic",6.27217357896907,1.25482642103093
"Norway",7.522,1.459,1.33095,0.88521,0.66973,0.34699,0.36503,2015,"Nordic",6.56188301390922,0.960116986090782
"Canada",7.427,1.32629,1.32261,0.90563,0.63297,0.45811,0.32957,2015,"NorthAmerica",6.27393110325233,1.15306889674767
"Finland",7.406,1.29025,1.31826,0.88911,0.64169,0.23351,0.41372,2015,"Nordic",6.19573212156237,1.21026787843762
"Netherlands",7.378,1.32944,1.28017,0.89284,0.61576,0.4761,0.31814,2015,"WesternEurope",6.28076591990947,1.09723408009053
"Sweden",7.364,1.33171,1.28907,0.91087,0.6598,0.36262,0.43844,2015,"Nordic",6.28569132746875,1.07830867253125
"New Zealand",7.286,1.25018,1.31967,0.90837,0.63938,0.47501,0.42922,2015,"Other",6.10878891411741,1.17721108588259
"Australia",7.284,1.33358,1.30923,0.93156,0.65124,0.43562,0.35637,2015,"Other",6.28974882180172,0.994251178198284
"Israel",7.278,1.22857,1.22393,0.91387,0.41319,0.33172,0.07785,2015,"MiddleEast",6.06189990206636,1.21610009793364
"Costa Rica",7.226,0.95578,1.23788,0.86027,0.63376,0.25497,0.10583,2015,"LatinAmerica",5.47000477955794,1.75599522044206
"Austria",7.2,1.33723,1.29704,0.89042,0.62433,0.33088,0.18676,2015,"WesternEurope",6.29766852999174,0.902331470008264
"Mexico",7.187,1.02054,0.91451,0.81444,0.48181,0.14074,0.21312,2015,"LatinAmerica",5.6105199308965,1.5764800691035
"United States",7.119,1.39451,1.24711,0.86179,0.54604,0.40105,0.1589,2015,"NorthAmerica",6.42195370399842,0.697046296001584
"Brazil",6.983,0.98124,1.23287,0.69702,0.49049,0.14574,0.17521,2015,"LatinAmerica",5.52524745641216,1.45775254358784
"Luxembourg",6.946,1.56391,1.21963,0.91894,0.61583,0.28034,0.37798,2015,"WesternEurope",6.789514955338,0.156485044661997
"Ireland",6.94,1.33596,1.36948,0.89533,0.61777,0.45901,0.28703,2015,"WesternEurope",6.29491290549822,0.645087094501778
"Belgium",6.937,1.30782,1.28566,0.89667,0.5845,0.2225,0.2254,2015,"WesternEurope",6.23385521002776,0.703144789972238
"United Arab Emirates",6.901,1.42727,1.12575,0.80925,0.64157,0.26428,0.38583,2015,"MiddleEast",6.49303579723268,0.407964202767316
"United Kingdom",6.867,1.26637,1.28548,0.90943,0.59625,0.51912,0.32067,2015,"WesternEurope",6.14391770195205,0.723082298047951
"Oman",6.853,1.36011,1.08182,0.76276,0.63274,0.21542,0.32524,2015,"MiddleEast",6.3473131665363,0.505686833463696
"Venezuela",6.81,1.04424,1.25596,0.72052,0.42908,0.05841,0.11069,2015,"LatinAmerica",5.66194378955499,1.14805621044501
"Singapore",6.798,1.52186,1.02,1.02525,0.54252,0.31105,0.4921,2015,"EastAsia",6.69827557742283,0.0997244225771663
"Panama",6.786,1.06353,1.1985,0.79661,0.5421,0.24434,0.0927,2015,"LatinAmerica",5.70379890489348,1.08220109510652
"Germany",6.75,1.32792,1.29937,0.89186,0.61477,0.28214,0.21843,2015,"WesternEurope",6.27746784964952,0.472532150350481
"Chile",6.67,1.10715,1.12447,0.85857,0.44132,0.33363,0.12869,2015,"LatinAmerica",5.79844484222189,0.87155515777811
"Qatar",6.611,1.69042,1.0786,0.79733,0.6404,0.32573,0.52208,2015,"MiddleEast",7.06401421098718,-0.453014210987184
"France",6.575,1.27778,1.26038,0.94579,0.55011,0.12332,0.20646,2015,"WesternEurope",6.16867492673236,0.406325073267641
"Argentina",6.574,1.05351,1.24823,0.78723,0.44974,0.11451,0.08484,2015,"LatinAmerica",5.68205767857457,0.891942321425427
"Czech Republic",6.505,1.17898,1.20643,0.84483,0.46364,0.10686,0.02652,2015,"Other",5.95430035983536,0.550699640164637
"Uruguay",6.485,1.06166,1.2089,0.8116,0.60362,0.2324,0.24558,2015,"LatinAmerica",5.69974141056051,0.785258589439491
"Colombia",6.477,0.91861,1.24018,0.69077,0.53466,0.18401,0.0512,2015,"LatinAmerica",5.38935394300367,1.08764605699633
"Thailand",6.455,0.9669,1.26504,0.7385,0.55664,0.5763,0.03187,2015,"Other",5.49413276724918,0.960867232750821
"Saudi Arabia",6.411,1.39541,1.08393,0.72025,0.31048,0.13706,0.32524,2015,"MiddleEast",6.4239065087576,-0.0129065087575997
"Spain",6.329,1.23011,1.31379,0.95562,0.45951,0.18227,0.06398,2015,"WesternEurope",6.06524136798762,0.263758632012375
"Malta",6.302,1.2074,1.30203,0.88721,0.60365,0.51752,0.13586,2015,"Other",6.01596559456424,0.286034405435763
"Taiwan",6.298,1.29098,1.07617,0.8753,0.3974,0.25376,0.08129,2015,"EastAsia",6.19731606320038,0.10068393679962
"Kuwait",6.295,1.55422,1.16594,0.72492,0.55499,0.16228,0.25609,2015,"MiddleEast",6.7684897574308,-0.473489757430798
"Suriname",6.269,0.99534,0.972,0.6082,0.59657,0.16991,0.13633,2015,"Other",5.55584139763937,0.713158602360632
"Trinidad and Tobago",6.168,1.21183,1.18354,0.61483,0.55884,0.31844,0.0114,2015,"Other",6.02557773354555,0.142422266454451
"El Salvador",6.13,0.76454,1.02507,0.67737,0.4035,0.10692,0.11776,2015,"LatinAmerica",5.05505546606217,1.07494453393783
"Guatemala",6.123,0.74553,1.04356,0.64425,0.57733,0.27489,0.09472,2015,"LatinAmerica",5.01380788998209,1.10919211001791
"Uzbekistan",6.003,0.63244,1.34043,0.59772,0.65821,0.22837,0.30826,2015,"Other",4.7684271230754,1.2345728769246
"Slovakia",5.995,1.16891,1.26999,0.78902,0.31751,0.16893,0.03431,2015,"Other",5.93245064436317,0.0625493556368308
"Japan",5.987,1.27074,1.25712,0.99111,0.49615,0.10705,0.1806,2015,"EastAsia",6.15339965394942,-0.166399653949416
"South Korea",5.984,1.24461,0.95774,0.96538,0.33208,0.18557,0.07857,2015,"EastAsia",6.09670322244113,-0.112703222441131
"Ecuador",5.975,0.86402,0.99903,0.79075,0.48574,0.11541,0.1809,2015,"LatinAmerica",5.27090548544389,0.704094514556114
"Bahrain",5.96,1.32376,1.21624,0.74716,0.45492,0.17362,0.306,2015,"MiddleEast",6.26844155209596,-0.308441552095962
"Italy",5.948,1.25114,1.19777,0.95446,0.26236,0.22823,0.02901,2015,"WesternEurope",6.11087190586054,-0.162871905860538
"Bolivia",5.89,0.68133,0.97841,0.5392,0.57414,0.20536,0.088,2015,"LatinAmerica",4.87450781716036,1.01549218283964
"Moldova",5.889,0.59448,1.01528,0.61826,0.32818,0.20951,0.01615,2015,"Other",4.68606215789919,1.20293784210081
"Paraguay",5.878,0.75985,1.30477,0.66098,0.53899,0.3424,0.08242,2015,"LatinAmerica",5.04487918348376,0.833120816516237
"Kazakhstan",5.855,1.12254,1.12241,0.64368,0.51649,0.11827,0.08454,2015,"Other",5.83183780360392,0.0231621963960791
"Slovenia",5.848,1.18498,1.27385,0.87337,0.60855,0.25328,0.03787,2015,"Other",5.96731905822992,-0.119319058229918
"Lithuania",5.833,1.14723,1.25745,0.73128,0.21342,0.02641,0.01031,2015,"Other",5.88540974749751,-0.0524097474975127
"Nicaragua",5.828,0.59325,1.14184,0.74314,0.55475,0.27815,0.19317,2015,"LatinAmerica",4.6833933247283,1.1446066752717
"Peru",5.824,0.90019,0.97459,0.73017,0.41496,0.14982,0.05989,2015,"LatinAmerica",5.34938653893239,0.474613461067608
"Belarus",5.813,1.03192,1.23289,0.73608,0.37938,0.11046,0.1909,2015,"Other",5.63521206218483,0.177787937815165
"Poland",5.791,1.12555,1.27948,0.77903,0.53122,0.16759,0.04212,2015,"Other",5.83836885063186,-0.0473688506318561
