"Country.or.region","Score","predicted_score","residual"
"Costa Rica",7.167,5.65043368927664,1.51656631072336
"Finland",7.769,6.31209403802326,1.45690596197674
"Guatemala",6.436,5.14445812847041,1.29154187152959
"Somalia",4.668,3.41462715135507,1.25337284864493
"Denmark",7.6,6.40507245304321,1.19492754695679
"Nicaragua",6.105,4.91525552400263,1.18974447599737
"Uzbekistan",6.174,5.02553224879373,1.14846775120627
"El Salvador",6.253,5.13148439614204,1.12151560385796
"Iceland",7.494,6.39858558687903,1.09541441312097
"New Zealand",7.307,6.23208935533168,1.07491064466832
"Honduras",5.86,4.80281651049013,1.05718348950987
"Netherlands",7.488,6.43318220642133,1.05481779357867
"Tajikistan",5.467,4.4806354910024,0.9863645089976
"Israel",7.139,6.17370755985403,0.965292440145967
"Sweden",7.343,6.41372160792879,0.929278392071215
"Switzerland",7.48,6.55427037481941,0.925729625180594
"Norway",7.554,6.6321127687896,0.921887231210404
"Niger",4.628,3.71302299490747,0.914977005092531
"Canada",7.278,6.36615125605811,0.911848743941886
"Mexico",6.595,5.72827608324683,0.866723916753165
"Austria",7.246,6.38993643199345,0.856063568006551
"Australia",7.228,6.38128727710787,0.846712722892127
"Congo (Kinshasa)",4.418,3.61788229116613,0.800117708833874
"Kosovo",6.1,5.32176580362473,0.778234196375269
"Pakistan",5.653,4.87849661573893,0.774503384261074
"United Kingdom",7.054,6.2969580169735,0.7570419830265
"Brazil",6.3,5.58556502763482,0.714434972365181
"Czech Republic",6.852,6.15857153880427,0.693428461195727
"Bolivia",5.779,5.09256319915695,0.686436800843051
"Jamaica",5.89,5.21148907883363,0.678510921166372
"Kyrgyzstan",5.261,4.60604823684326,0.654951763156739
"Ecuador",6.028,5.38663446526656,0.641365534733444
"Moldova",5.529,4.89579492551008,0.63320507448992
"Benin",4.883,4.26440661886298,0.618593381137018
"Mozambique",4.466,3.85573405051948,0.610265949480516
"Germany",6.985,6.38344956582927,0.601550434170734
"Colombia",6.125,5.54448154192833,0.58051845807167
"Belgium",6.923,6.34669065756557,0.576309342434434
"Nepal",4.913,4.37900792109687,0.533992078903127
"Chile",6.444,5.92071977945092,0.523280220549085
"Malta",6.726,6.22560248916749,0.500397510832507
"Paraguay",5.743,5.26338400814709,0.479615991852913
"Philippines",5.631,5.15959414952017,0.471405850479832
"Burkina Faso",4.587,4.13034471813654,0.456655281863456
"Uruguay",6.293,5.84503967420212,0.44796032579788
"Cameroon",5.044,4.60172365940047,0.442276340599527
"Gambia",4.516,4.08061207754448,0.435387922455522
"Panama",6.321,5.89909689223697,0.421903107763026
"Liberia",3.975,3.57247422801685,0.402525771983152
"Sierra Leone",4.374,3.99412052868871,0.379879471311289
"United States",6.892,6.51318688911292,0.378813110887084
"Ireland",7.021,6.65589794472493,0.365102055275067
"Nigeria",5.265,4.91958010144542,0.345419898554584
"Thailand",6.008,5.68503030881895,0.322969691181049
"France",6.592,6.27749741848095,0.314502581519046
"Argentina",6.086,5.77584643511751,0.310153564882494
"Ivory Coast",4.944,4.64496943382836,0.299030566171644
"Guinea",4.534,4.23629686548486,0.297703134515142
"Senegal",4.681,4.38765707598245,0.29334292401755
"Burundi",3.775,3.51409243253921,0.260907567460794
"Ghana",4.996,4.73578556012691,0.260214439873089
"Peru",5.697,5.49042432389348,0.206575676106524
"Luxembourg",7.09,6.89374970407829,0.196250295921709
"Chad",4.35,4.17142820384303,0.178571796156967
"United Arab Emirates",6.825,6.66454709961051,0.160452900389491
"Poland",6.182,6.02234734935644,0.15965265064356
